1,00096244,"574725,92","14545,35",745,101719,24,"88199,95"
2,000d9037,"188842,48","7712,53",304,138225,36,"40788,69"
3,000ea899,"238288,93","8741,06",742,185334,60,"134009,5"
4,000ef0ca,"372711,47","11109,78",400,188243,36,"2753,08"
5,000fbb19,"413342,9","20953,08",619,324127,60,"147146,55"
6,00103ea2,"144939,73","7733,09",325,128208,60,"101233,62"
7,00158700,"194793,88","6865,7",595,194175,48,"99821,01"
8,0020111b,"638564,72","36307,07",845,471644,48,"13319,41"
9,00214292,"552799,05","16584,28",825,105853,48,"121858,36"
10,002647f4,"509311,69","12390,61",366,222561,24,"53042,66"
11,0029561a,"490052,28","21823,25",839,119780,48,"26849,41"
12,003d7fab,"242836,38","7187,02",690,270219,36,"25619,8"
13,004124ac,"143943,24","2667,25",552,312585,60,"62795,8"
14,00441407,"299694,71","6792,75",367,291530,48,"112704,01"
15,00478b8e,"457926,18","7942,77",577,195777,36,"134541,11"
16,004a34ea,"380229,54","19401,27",451,111442,24,"84566,81"
17,004bf941,"349923,88","14328,56",808,301709,36,"64465,96"
18,0050be01,"390476,72","11442,79",334,163294,48,"95157,47"
19,005494ae,"680566,77","28053,25",562,280707,48,"16141,91"
20,0058b51e,"365247,59","15693,79",787,124620,36,"38950,52"
21,006a656b,"312314,81","5274,96",602,365743,12,"86336,55"
22,006aa42f,"450229,43","15777,78",802,413442,12,"14007,29"
23,006cc281,"831994,09","34435,97",515,351481,36,"49351,98"
24,006ead82,"453956,51","20451,62",792,426766,48,"35109,83"
25,007e54b5,"663505,81","20209,87",493,464271,24,"48879,65"
26,007fe0f7,"311510,99","8075,06",415,406254,12,"45550,58"
27,0088d3dc,"685955,39","33774,01",784,143894,60,"6353,76"
28,008eef50,"546407,61","15174,55",752,435540,48,"50801,69"
29,009321e0,"814558,96","35313,2",322,366456,60,"91790,6"
30,00932e3d,"673152,14","35734,45",786,460843,12,"68086,43"
31,00984615,"126838,65","5200,11",707,225664,24,"51911,3"
32,009ebb4e,"575128,48","12021,37",528,321161,24,"114538,64"
33,00a388be,"534215,22","18426,54",686,144467,36,"910,71"
34,00aa665f,510498,"11383,14",617,168230,48,"6634,98"
35,00aedc43,"568704,83","28565,09",665,40831,24,"81156,21"
36,00ce8887,"597236,77","28818,51",372,416323,36,"78504,99"
37,00d095c5,"260014,98","6893,7",444,31262,60,"66814,37"
38,00d207d0,275669,"13232,76",358,336132,48,"60304,36"
39,00d7ddbf,"499006,42","28678,55",436,454852,60,"46355,73"
40,00d9dcc4,"693059,2","39030,6",592,16000,48,"7875,87"
41,00e6351f,"257946,95","8892,25",440,141638,24,"115742,52"
42,00edacee,"819501,56","19719,89",363,92206,48,"147131,8"
43,00efee6a,"542447,19","22117,86",481,314879,48,"81041,02"
44,00eff084,"345448,73","7417,64",461,495700,60,"96774,28"
45,00f2f490,"193002,06","9012,52",402,331710,48,"24273,46"
46,00f66951,"369371,88","12517,37",333,425040,12,"143004,27"
47,00f6ba5e,"591753,13","19685,52",841,301295,24,"11363,74"
48,00f71a7c,"528824,34","25838,82",490,89813,36,"12851,88"
49,00f8fa28,"526589,21","19603,86",651,318217,36,"103957,39"
50,010faf43,"428148,64","17769,13",487,56482,48,"41717,59"
51,011199ed,"801609,88","14606,73",836,16389,36,"60130,49"
52,0114dc4b,"351803,08","11854,68",841,229513,36,"128861,95"
53,01167401,"279593,63",16214,631,281125,60,"55455,65"
54,01172f14,"368859,98","11161,49",675,296884,60,"144983,55"
55,011ad142,"167948,88","5546,08",486,274728,48,"62143,92"
56,01235bbd,"422135,08","18580,38",757,465044,60,"62487,9"
57,0129c43b,"429550,61","8341,9",566,378255,12,"872,11"
58,012b4c0b,"253878,54","7389,62",757,402242,24,"89735,96"
59,012c2d65,"276081,35","10737,34",484,455189,36,"105767,5"
60,012f879f,"243621,84","11195,53",718,118647,36,"122022,17"
61,01487bef,"481333,45","13356,76",501,24198,24,"60532,6"
62,014be141,"456248,8","18622,14",664,469280,24,117052
63,014cc0de,"146130,75","6653,31",304,408269,36,"61256,35"
64,015a0b0a,"408029,65","22325,16",466,104134,48,"50534,71"
